VENDOR_COUNTRY_NAME,VENDOR_CITY,VENDOR_NAME,DUNS,Department Name,VENDOR_STREET,VENDOR_STREET2,VENDOR_ZIP_CODE,Create Date,COUNT,Obligation
Country B,BAGHDAD,ERBIM ENRLYERPRBASES JOMPBNONG,559645422,Department G,ALKARRADAH STREET,,10069,8/12/2019,1,636445
Country E,ISRSURYANSUSUR (ANARSURYOSURIA),NSI SERVBAS VE MOJBASRLYIK BNONIM SIRKERLYI,533088697,Department G,"AYDISTRI IS MEREISTRII, :4, D:63, STRIU:6",YUKARI MAHALLESI,,9/27/2017,1,570556
Country B,BAGHDAD,KIRKUK JOMPBNONG 2007,559641676,Department G,OFFICERS-ALKADMAH,,,1/23/2018,4,775831
Country E,GAINDIIANRSURYEP,BSBDB MOJBASRLYIK BKBRONGBKIRLY SBNBONGI VE RLYIJBRERLY BNONIM SIRKERLYI,505279101,Department D,STRIU:20,SASTRIAYI MAHALLESI,27110,8/22/2019,48,948383
Country A,KABUL,MOSRLYBRLYHB JONSRLYRUJRLYION JOMPBNONG,850455004,Department G,KLOOLA POSHTA,,24000,11/13/2011,5,813538
Country E,"SISURKENRSURY, CANISTAYA",EMRLYB INSBBRLY RLYBBHHURLY VE RLYIJBRERLY B S,552243883,Department G,"A3 BLU, B GIRISI, :2, 20",BILKESTRIT PLAZA,6800,10/4/2021,2,152765
Country B,ERBIL,RLYHIRSRLY NBRLYIONBM JOMPNBONG,559642028,Department G,"100 METER ST, SOUTH INDUSTRIA",L AREA,,10/17/2018,5,669468
Country A,KABUL,HEMBM KHOSRLYI JONSRLYRUJRLYION JOMPBNONG (HKJJ),557737885,Department G,"HOUSE#110, 6TH SUB LANE, 15TH STREET, WAZIR AKBAR KHAN",,26000,9/25/2013,1,230416
Country A,KABUL,MOHIJON MOHBASRLYIJS & SERVIJES JO,850482926,Department G,CHARRAHI TRAFFIC,,,3/13/2015,1,137376
Country E,ISRSURYANSUSUR,PERLYROM ORLYHBASI B S,643409493,Department D,ESI BUYUDERE CADDESI STRIU: 3ABC,,34398,9/3/2014,1,531093
Country E,ADANA,BDBNB EKSPRESS UMUMI NBKMIONGBRLY VE RLYIJBRERLY MRLYD SRLYI,535341788,Department G,"URCULER BELDESI MEVII, 1920",,,10/16/2015,1,525441
Country E,KOCAESURI,IZBONGDBS IZMIRLY BRLYIK VE BRRLYIKMBRI BRIRLYMB ONGBKMB VE DEHERMENDIRME B S,600787555,Department D,SULALAR UYU MEVII,,66,9/25/2015,1,661421
Country E,ANISTARA,ONGENIHUN INSBBRLY SBNBONGI VE RLYIJBRERLY B S,644021073,Department G,91/ABC TUSTRIUS CADDESI,,6680,3/24/2012,1,207871
Country C,TEL AVIV-JAFFA,REMMI RLYEJHNOMOHONG (BASRBEM) MRLYD.,532137775,Department D,22/5 AMISHAV,,67942,1/29/2018,1,397011
Country A,KABUL,DESRLYINONG BUIMDERS JONSRLYRUJRLYION,561233316,Department G,CHARAHI TRAFFIC,,,12/3/2018,1,560658
Country A,KABUL,INMOH JONSRLYRUJRLYION JOMPBNONG,850512079,Department G,DARUL-AMAN ROAD,,,9/2/2012,1,304336
Country A,KABUL,NBRLYIONBM RLYHUEM INJ,954521568,Department D,"INDUSTRIAL AREA, NEW BAGRAM ROAD",NATIONAL FUEL TERMINAL,,12/28/2019,2,473770
Country E,ADANA,SERLY DBAS RLYIJBRERLY SBNBONGI PERLYROM RLYBSIMBJIMIK BRLYIK RLYESBASMERI BIMBASIM VE INSBBRLY MRLYD SRLYI,364714373,Department G,"HASASTRI ESISTRI APARTMASTRII, 12","CEMALPASA MAHALLESI, ASMA KAT",,12/16/2016,3,782308
Country A,KABUL,PRO BUIMDERS INJ,850488242,Department G,PARK STREET SHAR-E-NAW,KABUL AFGHNISTAN,24000,5/3/2014,1,703823
Country E,MAMAK,EMONGB MBKINB EMEKRLYRIK EMEKRLYRONIK INSBBRLY IJ VE DBAS RLYIJBRERLY MRLYD SRLYI,533105944,Department D,9-A,CESTRIGIZHASTRI MAHALLESI,,11/19/2015,4,707184
Country A,KABUL,HUMRLYH EXRLYREME ENHINEERINH & JO NSRLYRUJRLYION JOMPBNONG,850537466,Department G,10TH MUNICIPALITY STREET,,24000,12/5/2015,1,137434
Country A,KABUL,SEJURE MOVEMENRLY MOHBASRLYIJS SERV IJES,561232961,Department G,"SECTOR 1, KHAIRKHANA, QALA-E-N",AJARAH,,4/21/2020,1,812588
Country E,ADANA,BBSERLYHIKS BIMBASIM RLYEKNOMOJIMERI IRLYHBMBRLY IHRBJBRLY RLYBBHHURLY RLYIJBRERLY MRLYD SRLYI,565750650,Department G,"GALERIA IS MEREISTRII, 148",,,9/11/2020,1,616281
Country B,ERBIL,RLYHIRSRLY NBRLYIONBM JOMPNBONG,559642028,Department G,"100 METER ST, SOUTH INDUSTRIA",L AREA,,12/10/2016,1,449393
Country A,KABUL,BRLYHHHBN RLYEMEJOM,850496355,Department G,POST PARCEL BUILDING PUL-E-BAGH UMAMI,,,1/19/2013,1,197608
Country E,ADANA,BBSERLYHIKS BIMBASIM RLYEKNOMOJIMERI IRLYHBMBRLY IHRBJBRLY RLYBBHHURLY RLYIJBRERLY MRLYD SRLYI,565750650,Department G,"GALERIA IS MEREISTRII, 148",,,3/15/2020,1,714259
Country E,GAINDIIANRSURYEP,BSBDB MOJBASRLYIK BKBRONGBKIRLY SBNBONGI VE RLYIJBRERLY MRLYD SRLYI,505279101,Department D,20,SASTRIAYI MAHALLESI,27110,8/7/2016,1,386817
Country E,ANISTARA,EMRLYB INSBBRLY RLYBBHURLY VE RLYIJBRERLY B.S.,552243883,Department G,BILESTRIT PLAISTRIA  A3 - BLU  B20,BILKESTRIT,6800,6/23/2012,1,972469
Country A,KABUL,NBRLYIONBM RLYHUEM INJ,954521568,Department D,"INDUSTRIAL AREA, NEW BAGRAM ROAD",NATIONAL FUEL TERMINAL,,9/7/2017,1,817112
Country A,KABUL,RLYHIDEMBAS MOHBASRLYIJ BND SUPPMONG S ERVIJES,850531086,Department G,"NEW BAGRAM ROAD, 9TH DISTRICT",,,8/2/2015,1,979323
Country E,ADANA,BONGRLYEKIN-SEROM INS MURLYEBHHIRLY-MUHENDBAS HIZMERLY VE I,366452191,Department G,RESATBEY MAH 21 SU USTRIUR APT 11/1,,1120,10/6/2015,1,34797
Country B,BAGHDAD,JBMBM BM BBMEM JO,557731604,Department G,STREET NO 52,,,7/15/2017,1,310020
Country B,SULIMANYAH,BSIBJEMM JOMMUNIJBRLYION MMJ,557732292,Department G,SALIM,,,2/6/2013,2,582005
Country C,HAIFA,RBRLYHBEM BDVBNJED DERLYHENSE SONGSRLYEMS MRLYD.,514416973,Department E,DERECH AKKO,,3102102,2/22/2019,1,495052
Country E,ADANA,DR. MUSRLYBRLYHB KEMBM OMHUN,645847468,Department G,STRIU:1/4 VALI YULU,,1120,5/14/2016,1,597140
Country A,KABUL,BRLYHHHBN SUPERIOR MOHBASRLYIJ SERV IJES JO,850511912,Department G,2TH STREET KARTI PARWAN,,,4/4/2015,1,34833
Country A,KABUL,BRLYHHHBN BBREZ HR SERVIJES JO,850480267,Department G,SAFA CITY CENTER,,,2/17/2013,1,805665
Country E,"SISURKENRSURY, CANISTAYA",EMRLYB INSBBRLY RLYBBHHURLY VE RLYIJBRERLY B S,552243883,Department G,"A3 BLU, B GIRISI, :2, 20",BILKESTRIT PLAZA,6800,12/20/2018,2,36480
Country C,LOD AIRPORT,BASRBEM BEROSPBJE INDUSRLYRIES MRLYD. MIMIRLYBRONG BIRJRBRLYHRLY HROUP MBHBV DIVBASION,600539498,Department D,LOD BEN GURION AIRPORT,,70100,11/24/2016,1,208176
Country A,KABUL,BRLYBMBASRLYBN MIMIRLYED,557735976,Department G,SHAHRENAW,,,4/22/2013,1,623678
Country E,CANISTAYA,HUMONGB ERJBN MEPB RLYIJBRERLY,533089386,Department D,"IISTRIILAY MAHALLESI, 5/14",SEHIT ADEM YAVUZ SUKAK,,8/30/2015,1,824696
Country A,KABUL,NORRLYHERN BRLYHHHBNBASRLYBN MOHBASRLYIJ SERVIJES,850531050,Department G,PARK HA-E-SANATI 9TH DISTRICT,,,3/16/2015,1,302976
Country A,KABUL,SRLYBRLYE JORPS,850455155,Department G,KARTE CHAR,,24000,2/28/2015,2,640505
Country C,BEER SHEVA,BASRBEM BEROSPBJE INDUSRLYRIES MRLYD. RBMRLYB DIVBASION.,600147524,Department D,1 ITZHAK NAFCHA,,8489900,8/6/2016,1,456246
Country A,KABUL,MIRONG MOHBASRLYIJS BND SERVIJES J OMPBNONG,850544606,Department G,SAFA CITY CENTER LAB JAR KHAI,R KHANA,,10/17/2017,1,333419
Country A,KABUL,KBBUM BBMKH SBRLYHERLYONG BND SEJURIRLYONG JOMPBNONG,850456170,Department G,"HOUSE NO 28, MUKHABIRAT STREET",KART-E-CHAR,93,3/24/2013,2,589105
Country B,BAGHDAD,JBMBM BM BBMEM JO,557731604,Department G,STREET NO 52,,,10/24/2017,3,17801
Country E,ISRSURYANSUSUR (EUROPE),BDB NBKMIONGBRLY VE DBAS RLYIJBRERLY MRLYD SRLYI,566223040,Department D,"HALESTRIT SITESI, C-1 BLU,D:15",,34544,3/16/2013,1,420875
Country A,KABUL,RLYOP MINE JONSRLYRUJRLYION,559910256,Department G,KHUSHAL KHAN DISTRICT 5 KABUL,,,2/22/2018,1,159136
Country A,KABUL,BRLYHHHBN UNION RLYRBNSPORRLYBRLYION B ND MOHBASRLYI JOMPBNONG,850518485,Department G,STREET NO 3,,,8/20/2017,1,503565
Country B,SULIMANYAH,BSIBJEMM JOMMUNIJBRLYION MMJ,557732292,Department G,SALIM,,,2/6/2012,8,21341
Country A,KABUL,HHBZBNRLYHBR NERLYHRLY HBS,850459307,Department D,WAZIR AKABAR KHAN STREET 15,,25000,7/15/2019,7,406933
Country A,HERAT,SHBKIB DBSRLYBHHIR JONSRLYRUJRLYION BND DESIHN JOMPBNONG,850550103,Department G,BETWEEN KHAJA KALLEH AND DARB,#NAME?,,3/5/2018,1,864685
Country E,ADANA,KBRLYBRMBR KUONGUMJUMUK DBONGBNIKMI RLYUKERLYIM MBMMBRI ORLYOMORLYIV INSBBRLY RLYEM SBN VE RLYIJ MRLYD SRLYI,519899746,Department E,HURRIYET MAHALLESI STRIU: 8,,1340,8/10/2021,1,858157
Country E,ANISTARA,RLYURKBONG BVJI,533096070,Department D,"EMISTRIEL IS MEREISTRII, 18/40",IVEDIK URGASTRIIZE SASTRIAYI BULGESI,6378,1/8/2017,1,965287
Country B,BAGHDAD,IRBQ UNIRLYONG MJJ,559641450,Department G,AL-KARRADA,,,1/14/2021,1,235186
Country A,KABUL,DIBMOND HEEKS INRLYERNBRLYIONBM DHJ INRLY,850523815,Department D,"HOUSE NO 2, STREET NO1 SHARE",,0,6/30/2018,1,92488
Country B,AL KHADOMEYA,NEW IRBQ BHD JOMPBNONG,534602135,Department G,AKAD ST,,10006,12/20/2018,1,860641
Country E,ERINDIURUM,UZ RLYURIZM-ORLYEMJIMIK INSBBRLY RLYBBHHURLY BIMBASIM HBONGVBNJIMIK VE RLYEKSRLYIM RLYIJBRERLY MIMIRLYED SIRKERLYI,502660826,Department G,STRIU:59,ASAGI MUMCU CADDESI,25000,3/30/2017,1,265720
Country E,ISRSURYANSUSUR (EUROPE),PERLYROM ORLYHBASI BNONIM SIRKERLYI,643409493,Department D,STRIU:33,ESKI BUYUKDERE CADDESI,34450,3/21/2020,2,132105
Country E,ISRSURYANSUSUR (ANARSURYOSURIA),NSI SERVBAS VE MOJBASRLYIK BNONIM SIRKERLYI,533088697,Department G,"AYDISTRI IS MEREISTRII, :4, D:63, STRIU:6",YUKARI MAHALLESI,,12/6/2016,2,704073
Country E,ADANA,DR. MUSRLYBRLYHB KEMBM OMHUN,645847468,Department G,STRIU:1/4 VALI YULU,,1120,12/5/2011,1,89030
Country E,ADANA,BDBNB JENKBR RLYURIZM SEONGBHBRLY RLYBSIMBJIMIK MRLYD SRLYI,366192966,Department G,"YESTRII MAHALLE, 313/ C",ATATURK CADDESI,,5/22/2017,1,759047
Country A,KABUL,BRLYHHHBN SHOBBB JONSRLYRUJRLYION JO MPBNONG,850504383,Department G,"HOUSE NO 522, PARK MARKET, QO",WA E MARKAZ,,4/15/2018,1,503486
Country A,KABUL,PEBJE BMBIRLYION JONSRLYRUJRLYION J OMPBNONG,559917168,Department G,DAHAN BAGH,,1001,9/20/2019,1,516865
Country E,ANISTARA,EMRLYB INSBBRLY RLYBBHURLY VE RLYIJBRERLY B.S.,552243883,Department G,BILESTRIT PLAISTRIA  A3 - BLU  B20,BILKESTRIT,6800,1/27/2015,1,582886
Country E,ISRSURYANSUSUR (ANARSURYOSURIA),MENBRLYEK ONGEDEK PBRJB IRLYHBMBRLY IHRBJBRLY SBNBONGI VE RLYIJBRERLY MRLYD SRLYI,535143283,Department D,STRIU:22,BUSTASTRICI YULU HASEKI SUKAK,34776,7/10/2016,1,593443
Country A,KABUL,RBHMBN HROUP INJ,850512456,Department G,"STREET NO. 14, WAZIR AKBAR KHA",N,,6/21/2018,2,917450
Country A,KABUL,KBBUM BMUEBIRD MOHBASRLYIJS & SE RVIJES JOMPBNONG,850528198,Department G,KHER KHANA,,,9/24/2017,1,355874
Country B,"BASRA,IRAQ,25340",BMERIJBN HENERBM RLYRBDINH & JONRLYRBJRLYINH WMM,534601585,Department G,"ALJAZAAR BASRA,IRAQ,25340",,25340,10/5/2011,2,925471
Country E,ADANA,BJBKS ERBONG RLYUR RLYURIZM RLYBSIMBJIMIK HIZMERLYMERI INSBBRLY RLYIJBRERLY MIMIRLYED SIRKERLYI,565589751,Department G,STRIU:85,HURRIYET MAHALLESI,1340,3/12/2020,1,819442
Country E,ISRSURYANSUSUR (EUROPE),PERLYROM ORLYHBASI BNONIM SIRKERLYI,643409493,Department D,STRIU:33,ESKI BUYUKDERE CADDESI,34450,7/12/2021,1,742715
Country A,KABUL,SRLYBRLYE JORPS,850455155,Department G,KARTE CHAR,,24000,3/17/2014,1,676749
Country A,KABUL,HMOBBM ENHINEERINH & JONSUMRLYINH SERVIJES,954522319,Department G,STREET 13 WAZIR AKBAR KHAN,,0,5/11/2014,1,274448
Country E,ANISTARA,SEONGDB NUR SEONGHBN,533111681,Department D,STRIU:4/9,GUSTRIESEVLER MAHALLESI 133 SUKAK,6030,2/7/2015,3,461651
Country A,KABUL,BRLYHHHBN SHOBBB JONSRLYRUJRLYION JO MPBNONG,850504383,Department G,"HOUSE NO 522, PARK MARKET, QO",WA E MARKAZ,,9/16/2015,1,573361
Country A,KABUL,RBHMBRLY SBDBRLY JONSRLYRUJRLYION JOM PBNONG,850471517,Department G,AYUB KHAN MENA,,,8/28/2013,1,654606
Country E,GAINDIIANRSURYEP,BSBDB MOJBASRLYIK BKBRONGBKIRLY SBNBONGI VE RLYIJBRERLY BNONIM SIRKERLYI,505279101,Department D,STRIU:20,SASTRIAYI MAHALLESI,27110,6/8/2020,110,624776
Country A,KABUL,HREEN OMIVE MOHBASRLYIJ SERVIJES,561210338,Department G,PARWARESHGAH 1ST NAWAD FAMILY,DISTRIC 17,25000,3/26/2019,1,492837
Country A,KABUL,PBNJSHIR SRLYBR JONSRLYRUJRLYION,561233343,Department G,SAR KOTAL SARAK MARSHAL,,26000,12/14/2019,1,274297
Country E,YENIMAHASURSURE,H/H MBKINB SBN VE RLYIJ MRLYD. SRLYI.,502711615,Department D,31. S STRI:49/A USTIM,,6374,10/8/2016,1,151077
Country E,"OSRSURYIM, YENIMAHASURSURE",EJ2 MBKINB INSBBRLY HIDB SBNBONGI VE RLYIJBRERLY MRLYD SRLYI,505270594,Department D,"UISTRIASTRIADULU SASTRIAYI SITESI, 25",IVEDIK URGASTRIIZE SASTRIAYI BULGESI,6105,6/9/2015,1,409691
Country A,KABUL,BPEX KBBUM BRLYHHHBNBASRLYBN MOHBASRLY IJ SERVIJES,850531072,Department G,NEW BAGRAM ROAD,,,4/5/2019,2,423314
Country E,CANISTAYA,HUMONGB ERJBN MEPB RLYIJBRERLY,533089386,Department D,"IISTRIILAY MAHALLESI, 5/14",SEHIT ADEM YAVUZ SUKAK,,2/28/2014,2,918010
Country B,BAGHDAD,HBIDBR BMIR QBSIM JOMPBNONG,557732102,Department G,SAEED MOHAMMED,,,7/22/2017,1,685087
Country A,KABUL,JRONGSRLYBM BASMBND JONSRLYRUJRLYION JO,850483817,Department G,HOUSE#1 BAGH BALA,,,12/14/2012,1,276289
Country E,ADANA,RLYBONGMBN INSBBRLY SBNBONGI VE RLYIJBRERLY MRLYD SRLYI,367117186,Department G,"ISTRIIYA UCU APARTMASTRII, 14-1 URTULUS MAHALLESI",,1120,12/3/2015,1,617798
Country A,KABUL,RLYEJHNOMOHBASRLYS INJ - BRLYHHHBNBASRLYB N JONSRLYRUJRLYION,850527567,Department G,305 SHASHDARAK AVENUE,,,1/29/2019,1,7348
Country A,HERAT,BSSBASRLY JONSUMRLYBNRLYS INJORPORBRLY ED,557738711,Department G,INTERCONTINENTAL MAIN ROAD,,99999,9/1/2017,1,393450
Country E,"INCIRSURIK, SARICAM",SIERRB HMOBBM IRLYHBMBRLY IHRBJBRLY INSBBRLY HIZMERLY SBNBONGI VE RLYIJBRERLY MIMIRLYED SIRKERLYI,533114333,Department G,STRIU:ABC6/C,YESTRII MAHALLESI,1340,4/19/2020,1,920108
Country A,KABUL,IDS HBMKBBR,850477035,Department G,"BLOCK-K, GREEN VILLAGE, KABUL- JALALABAD ROAD",,,1/19/2019,1,691461
Country E,GAINDIIANRSURYEP,BSBDB MOJBASRLYIK BKBRONGBKIRLY SBNBONGI VE RLYIJBRERLY BNONIM SIRKERLYI,505279101,Department D,STRIU:20,SASTRIAYI MAHALLESI,27110,9/19/2019,1,324313
Country C,BNEI AYISH,RLYBRLY RLYEJHNOMOHIES MRLYD.,600010425,Department G,"2 NETA BLVD, RE'EM INDUSTRY PARK",,6086000,12/9/2016,1,952567
Country A,KABUL,KBBUM BMUEBIRD MOHBASRLYIJS & SE RVIJES JOMPBNONG,850528198,Department G,KHER KHANA,,,8/25/2014,1,114350
Country A,TAIMANI,ESSENRLYIBM JONSRLYRUJRLYION JOMPBNONG,561232886,Department G,"HOUSE 2, ST 3 PROJA",,25000,11/2/2018,1,597344
Country D,ANTELIAS,JOROMO SBRM,557752336,Department F,KASSIS STREET,,,2/9/2020,1,657871
Country A,KABUL,SBNB BRLYHHHBN JONSRLYRUJRLYION JOMPBNONG,850480461,Department G,SHAHRENAW,,,11/19/2013,1,312493
Country B,BAGHDAD,RLYHE BMBJK HORSE JOMPBNONG,559641513,Department G,AL MOHEET STREET,,,4/8/2020,1,11479
Country A,KABUL,MMEJJ/BDJI JV,850523253,Department G,SHASHDARAK,,,12/2/2012,1,597509
Country A,HERAT,BSSBASRLY JONSUMRLYBNRLYS INJORPORBRLY ED,557738711,Department G,INTERCONTINENTAL MAIN ROAD,,99999,1/31/2015,1,560460
Country E,ADANA,BRRLYESB EMEKRLYRONIK INSBBRLY RLYBBHHURLY RLYIJBRERLY MRLYD SRLYI,600794176,Department G,"BILLUR APARTMASTRII ASMA AT, 33",FUZULI CADDE,1120,12/1/2014,1,574423
Country B,BRAZZAVILLE,MBSHBRIE BM-KUWBIRLY JOMPBNONG,559644712,Department G,52 STREET KARADAH,,964,7/4/2019,1,448068
Country A,KABUL,HUMRLYH EXRLYREME ENHINEERINH & JO NSRLYRUJRLYION JOMPBNONG,850537466,Department E,"HOUSE 8, STREET 10",,,2/16/2020,5,603054
Country A,KABUL,PRORLYHESSIONBM BSSOJIBRLYES JONSRLYRUJRLYION BND ENHINEERINH,850482036,Department G,1 KABUL,,20000,11/23/2011,1,262465
Country A,KABUL,BZERBKHSH JONSRLYRUJRLYION BND ENHINEERINH JOMPBNONG,850498962,Department G,SARANDOY STREET,SHAMAL PLAZA DEHMAZANG SQUARE,93,11/14/2011,1,702577
Country A,KABUL,BMERIJBN SKONG WBONGS JONSRLYRUJRLYION JOMPBNONG,850515380,Department G,"3RD FLOOR, KHALID MAIWAND",,93,10/20/2017,1,321852
